"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-01-01","Niedziela","Uroczystość Świętej Bożej Rodzicielki
Oktawa Narodzenia Pańskiego Uroczystość Świętej Bożej Rodzicielki Maryi
","Lb 6,22-27, Ps 67,2-3.5.8, Ga 4,4-7, Łk 2,16-21"
"2023-01-02","Poniedziałek","
Świętych Bazylego Wielkiego I Grzegorza Z Nazjanzu, Biskupów I Doktorów Kościoła
","1 J 2,22-28, Ps 98,1-4, J 1,19-28"
"2023-01-03","Wtorek","
Najświętszego Imienia Jezus
","1 J 2,29-3,6, Ps 98,1.3-6, J 1,29-34"
"2023-01-04","Środa","

","1 J 3,7-10, Ps 98,1.7-9, J 1,35-42"
"2023-01-05","Czwartek","

","1 J 3,11-21, Ps 100,1-5, J 1,43-51"
"2023-01-06","Piątek","Uroczystość Objawienia Pańskiego
Objawienie Pańskie
","Iz 60,1-6, Ps 72,1-2.7-8.10-13, Ef 3,2-3a.5-6, Mt 2,1-12"
"2023-01-07","Sobota","
Św. Rajmunda Z Penyafort, Prezbitera
","1 J 3,22-4,6, Ps 2,7-8.10-11, Mt 4,12-17.23-25"
"2023-01-08","Niedziela","NIEDZIELA CHRZTU PAŃSKIEGO

","Iz 42,1-4.6-7, Ps 29,1-4.9b-10, Dz 10,34-38, Mt 3,13-17"
"2023-01-09","Poniedziałek","

","Hbr 1,1-6, Ps 97,1-2.6-7.9.12, Mk 1,14-20"
"2023-01-10","Wtorek","
W Diecezji Drohiczyńskiej: Rocznica Poświęcenia Kościoła Katedralnego W Drohiczynie
","Hbr 2,5-12, Ps 8,2.5-9, Mk 1,21-28"
"2023-01-11","Środa","

","Hbr 2,14-18, Ps 105,1-4.6-9, Mk 1,29-39"
"2023-01-12","Czwartek","

","Hbr 3,7-14, Ps 95,6-11, Mk 1,40-45"
"2023-01-13","Piątek","
Św. Hilarego, Biskupa I Doktora Kościoła
","Hbr 4,1-5.11, Ps 78,3.4bc.6-8, Mk 2,1-12"
"2023-01-14","Sobota","

","Hbr 4,12-16, Ps 19,8-10.15, Mk 2,13-17"
"2023-01-15","Niedziela","II NIEDZIELA ZWYKŁA

","Iz 49,3.5-6, Ps 40,2.4ab.7-10, 1 Kor 1,1-3, J 1,29-34"
"2023-01-16","Poniedziałek","

","Hbr 5,1-10, Ps 110, 1-4, Mk 2,18-22"
"2023-01-17","Wtorek","
Św. Antoniego, Opata
","Hbr 6,10-20, Ps 111, 1-2.4-5.9-10, Mk 2,23-28"
"2023-01-18","Środa","
W Diecezji Warmińskiej: Bł. Reginy Protmann, Dziewicy
","Hbr 7,1-3.15-17, Ps 110, 1-4, Mk 3,1-6"
"2023-01-19","Czwartek","
Św. Józefa Sebastiana Pelczara, Biskupa
","Hbr 7,25-8,6, Ps 40, 7-10.17, Mk 3,7-12"
